2025;J;V;E;D;GP;GC;SG;PTS
1FLAFlamengo;20;14;4;2;44;9;35;46
2PALPalmeiras;19;13;3;3;27;15;12;42
3CRUCruzeiro;21;12;5;4;34;15;19;41
4BAHBahia;19;10;6;3;27;17;10;36
5BOTBotafogo;19;9;5;5;26;12;14;32
6MIRMirassol;19;8;8;3;30;19;11;32
7SAOSão Paulo;21;8;8;5;26;22;4;32
8BRARed Bull Bragantino;21;9;3;9;26;28;-2;30
9FLUFluminense;19;8;3;8;25;28;-3;27
10CEACeará;20;7;5;8;19;19;0;26
11CORCorinthians;21;6;7;8;22;27;-5;25
12CAMAtlético-MG;19;6;6;7;20;23;-3;24
13INTInternacional;20;6;6;8;23;28;-5;24
14GREGrêmio;20;6;6;8;19;25;-6;24
15SANSantos;20;6;3;11;20;31;-11;21
16VASVasco da Gama;20;5;4;11;27;29;-2;19
17VITVitória;21;3;10;8;18;32;-14;19
18JUVJuventude;20;5;3;12;18;41;-23;18
19FORFortaleza;20;3;6;11;19;32;-13;15
20SPOSport;19;1;7;11;12;30;-18;10
