time;jogos;vitorias;empates;derrotas;gols_pro;gols_contra;saldo;pontos
Flamengo;20.0;14.0;4.0;2.0;44.0;9.0;35.0;46.0
Palmeiras;19.0;13.0;3.0;3.0;27.0;15.0;12.0;42.0
Cruzeiro;21.0;12.0;5.0;4.0;34.0;15.0;19.0;41.0
Bahia;19.0;10.0;6.0;3.0;27.0;17.0;10.0;36.0
Botafogo;19.0;9.0;5.0;5.0;26.0;12.0;14.0;32.0
Mirassol;19.0;8.0;8.0;3.0;30.0;19.0;11.0;32.0
São Paulo;21.0;8.0;8.0;5.0;26.0;22.0;4.0;32.0
Red Bull Bragantino;21.0;9.0;3.0;9.0;26.0;28.0;-2.0;30.0
Fluminense;19.0;8.0;3.0;8.0;25.0;28.0;-3.0;27.0
Ceará;20.0;7.0;5.0;8.0;19.0;19.0;0.0;26.0
Corinthians;21.0;6.0;7.0;8.0;22.0;27.0;-5.0;25.0
Atlético-MG;19.0;6.0;6.0;7.0;20.0;23.0;-3.0;24.0
Internacional;20.0;6.0;6.0;8.0;23.0;28.0;-5.0;24.0
Grêmio;20.0;6.0;6.0;8.0;19.0;25.0;-6.0;24.0
Santos;20.0;6.0;3.0;11.0;20.0;31.0;-11.0;21.0
Vasco da Gama;20.0;5.0;4.0;11.0;27.0;29.0;-2.0;19.0
Vitória;21.0;3.0;10.0;8.0;18.0;32.0;-14.0;19.0
Juventude;20.0;5.0;3.0;12.0;18.0;41.0;-23.0;18.0
Fortaleza;20.0;3.0;6.0;11.0;19.0;32.0;-13.0;15.0
Sport;19.0;1.0;7.0;11.0;12.0;30.0;-18.0;10.0
